Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
755,-456.000000
756,-488.000000
757,-504.000000
758,-512.000000
759,-504.000000
760,-488.000000
761,-456.000000
762,-416.000000
763,-360.000000
764,-304.000000
765,-232.000000
766,-152.000000
767,-72.000000
768,8.000000
769,88.000000
770,168.000000
771,240.000000
772,312.000000
773,368.000000
774,424.000000
775,472.000000
776,504.000000
777,520.000000
778,528.000000
779,520.000000
780,496.000000
781,472.000000
782,424.000000
783,376.000000
784,312.000000
785,248.000000
786,168.000000
787,88.000000
788,8.000000
789,-72.000000
790,-152.000000
791,-232.000000
792,-296.000000
793,-360.000000
794,-416.000000
795,-456.000000
796,-488.000000
797,-504.000000
798,-512.000000
799,-504.000000
800,-488.000000
801,-456.000000
802,-416.000000
803,-360.000000
804,-304.000000
805,-232.000000
806,-160.000000
807,-80.000000
808,0.000000
809,88.000000
810,168.000000
811,240.000000
812,304.000000
813,368.000000
814,424.000000
815,472.000000
816,496.000000
817,520.000000
818,528.000000
819,520.000000
820,496.000000
821,472.000000
822,424.000000
823,376.000000
824,312.000000
825,240.000000
826,168.000000
827,88.000000
828,8.000000
829,-72.000000
830,-152.000000
831,-224.000000
832,-296.000000
833,-360.000000
834,-408.000000
835,-456.000000
836,-488.000000
837,-504.000000
838,-512.000000
839,-504.000000
840,-488.000000
841,-456.000000
842,-416.000000
843,-360.000000
844,-304.000000
845,-232.000000
846,-160.000000
847,-72.000000
848,8.000000
849,88.000000
850,168.000000
851,240.000000
852,312.000000
853,376.000000
854,424.000000
855,464.000000
856,496.000000
857,520.000000
858,528.000000
859,520.000000
860,496.000000
861,472.000000
862,424.000000
863,376.000000
864,312.000000
865,240.000000
866,168.000000
867,88.000000
868,8.000000
869,-72.000000
870,-152.000000
871,-224.000000
872,-296.000000
873,-360.000000
874,-408.000000
875,-456.000000
876,-488.000000
877,-504.000000
878,-512.000000
879,-504.000000
880,-488.000000
881,-456.000000
882,-416.000000
883,-360.000000
884,-304.000000
885,-232.000000
886,-160.000000
887,-80.000000
888,0.000000
889,88.000000
890,168.000000
891,240.000000
892,304.000000
893,376.000000
894,424.000000
895,464.000000
896,496.000000
897,520.000000
898,528.000000
899,512.000000
900,504.000000
901,472.000000
902,424.000000
903,376.000000
904,312.000000
905,240.000000
906,168.000000
907,88.000000
908,8.000000
909,-72.000000
910,-152.000000
911,-224.000000
912,-296.000000
913,-360.000000
914,-408.000000
915,-456.000000
916,-488.000000
917,-504.000000
918,-512.000000
919,-504.000000
920,-488.000000
921,-456.000000
922,-416.000000
923,-360.000000
924,-304.000000
925,-232.000000
926,-160.000000
927,-80.000000
928,0.000000
929,80.000000
930,168.000000
931,240.000000
932,304.000000
933,368.000000
934,424.000000
935,464.000000
936,496.000000
937,520.000000
938,528.000000
939,512.000000
940,496.000000
941,472.000000
942,424.000000
943,376.000000
944,312.000000
945,248.000000
946,168.000000
947,88.000000
948,8.000000
949,-72.000000
950,-152.000000
951,-224.000000
952,-296.000000
953,-360.000000
954,-408.000000
955,-448.000000
956,-488.000000
957,-504.000000
958,-512.000000
959,-504.000000
960,-488.000000
961,-456.000000
962,-416.000000
963,-360.000000
964,-304.000000
965,-232.000000
966,-160.000000
967,-80.000000
968,0.000000
969,80.000000
970,160.000000
971,240.000000
972,304.000000
973,368.000000
974,424.000000
975,472.000000
976,496.000000
977,520.000000
978,528.000000
979,520.000000
980,504.000000
981,472.000000
982,432.000000
983,376.000000
984,312.000000
985,248.000000
986,168.000000
987,88.000000
988,8.000000
989,-72.000000
990,-152.000000
991,-232.000000
992,-296.000000
993,-360.000000
994,-408.000000
995,-448.000000
996,-488.000000
997,-504.000000
998,-512.000000
999,-504.000000
1000,-488.000000
1001,-456.000000
1002,-416.000000
1003,-360.000000
1004,-304.000000
1005,-232.000000
1006,-160.000000
1007,-80.000000
1008,0.000000
1009,88.000000
1010,168.000000
1011,240.000000
1012,304.000000
1013,368.000000
1014,424.000000
1015,472.000000
1016,496.000000
1017,520.000000
1018,528.000000
1019,520.000000
1020,496.000000
1021,464.000000
1022,424.000000
1023,376.000000
1024,312.000000
1025,240.000000
1026,168.000000
1027,88.000000
1028,8.000000
1029,-72.000000
1030,-152.000000
1031,-232.000000
1032,-296.000000
1033,-360.000000
1034,-416.000000
1035,-456.000000
1036,-488.000000
1037,-504.000000
1038,-512.000000
1039,-512.000000
1040,-488.000000
1041,-456.000000
1042,-416.000000
1043,-360.000000
1044,-296.000000
1045,-224.000000
1046,-152.000000
1047,-72.000000
1048,8.000000
1049,88.000000
1050,168.000000
1051,240.000000
1052,312.000000
1053,376.000000
1054,424.000000
1055,472.000000
1056,504.000000
1057,520.000000
1058,520.000000
1059,520.000000
1060,496.000000
1061,464.000000
1062,424.000000
1063,368.000000
1064,304.000000
1065,240.000000
1066,160.000000
1067,80.000000
1068,0.000000
1069,-80.000000
1070,-160.000000
1071,-232.000000
1072,-304.000000
1073,-360.000000
1074,-416.000000
1075,-456.000000
1076,-488.000000
1077,-504.000000
1078,-512.000000
1079,-504.000000
1080,-488.000000
1081,-456.000000
1082,-416.000000
1083,-360.000000
1084,-296.000000
1085,-224.000000
1086,-152.000000
1087,-72.000000
1088,8.000000
1089,88.000000
1090,168.000000
1091,240.000000
1092,312.000000
1093,376.000000
1094,424.000000
1095,472.000000
1096,496.000000
1097,520.000000
1098,520.000000
1099,520.000000
1100,496.000000
1101,464.000000
1102,424.000000
1103,368.000000
1104,304.000000
1105,240.000000
1106,160.000000
1107,88.000000
1108,8.000000
1109,-72.000000
1110,-152.000000
1111,-232.000000
1112,-304.000000
1113,-360.000000
1114,-416.000000
1115,-456.000000
1116,-488.000000
1117,-504.000000
1118,-512.000000
1119,-504.000000
1120,-488.000000
1121,-456.000000
1122,-416.000000
1123,-360.000000
1124,-296.000000
1125,-224.000000
1126,-152.000000
1127,-72.000000
1128,8.000000
1129,88.000000
1130,168.000000
1131,240.000000
1132,312.000000
1133,376.000000
1134,424.000000
1135,472.000000
1136,504.000000
1137,520.000000
1138,528.000000
1139,520.000000
1140,496.000000
1141,472.000000
1142,424.000000
1143,368.000000
1144,304.000000
1145,240.000000
1146,160.000000
1147,80.000000
1148,0.000000
1149,-80.000000
1150,-160.000000
1151,-232.000000
1152,-296.000000
1153,-360.000000
1154,-416.000000
1155,-456.000000
1156,-488.000000
1157,-504.000000
1158,-512.000000
1159,-504.000000
1160,-488.000000
1161,-456.000000
1162,-408.000000
1163,-352.000000
1164,-296.000000
1165,-224.000000
1166,-144.000000
1167,-64.000000
1168,16.000000
1169,96.000000
1170,176.000000
1171,248.000000
1172,320.000000
1173,376.000000
1174,432.000000
1175,472.000000
1176,504.000000
1177,520.000000
1178,528.000000
1179,520.000000
1180,496.000000
1181,464.000000
1182,424.000000
1183,368.000000
1184,304.000000
1185,232.000000
1186,160.000000
1187,80.000000
1188,0.000000
1189,-80.000000
1190,-160.000000
1191,-232.000000
1192,-304.000000
1193,-360.000000
1194,-416.000000
1195,-456.000000
1196,-488.000000
1197,-504.000000
1198,-512.000000
1199,-504.000000
1200,-488.000000
1201,-456.000000
1202,-408.000000
1203,-352.000000
1204,-296.000000
1205,-224.000000
1206,-144.000000
1207,-64.000000
1208,16.000000
1209,96.000000
1210,176.000000
1211,248.000000
1212,312.000000
1213,376.000000
1214,432.000000
1215,472.000000
1216,504.000000
1217,520.000000
1218,528.000000
1219,520.000000
1220,496.000000
1221,464.000000
1222,424.000000
1223,368.000000
1224,304.000000
1225,232.000000
1226,160.000000
1227,80.000000
1228,0.000000
1229,-80.000000
1230,-160.000000
1231,-232.000000
1232,-304.000000
1233,-368.000000
1234,-416.000000
1235,-456.000000
1236,-488.000000
1237,-504.000000
1238,-512.000000
1239,-504.000000
1240,-488.000000
1241,-456.000000
1242,-408.000000
1243,-352.000000
1244,-296.000000
1245,-224.000000
1246,-144.000000
1247,-64.000000
1248,16.000000
1249,96.000000
1250,176.000000
1251,248.000000
1252,312.000000
1253,376.000000
1254,432.000000
1255,472.000000
1256,496.000000
1257,520.000000
1258,520.000000
1259,512.000000
1260,496.000000
1261,464.000000
1262,416.000000
1263,368.000000
1264,304.000000
1265,240.000000
1266,160.000000
1267,80.000000
1268,0.000000
1269,-80.000000
1270,-160.000000
1271,-232.000000
1272,-304.000000
1273,-360.000000
1274,-416.000000
1275,-456.000000
1276,-488.000000
1277,-504.000000
1278,-512.000000
1279,-504.000000
1280,-488.000000
1281,-456.000000
1282,-408.000000
1283,-352.000000
1284,-296.000000
1285,-224.000000
1286,-152.000000
1287,-72.000000
1288,8.000000
1289,88.000000
1290,168.000000
1291,248.000000
1292,312.000000
1293,376.000000
1294,424.000000
1295,472.000000
1296,504.000000
1297,520.000000
1298,528.000000
1299,512.000000
1300,496.000000
1301,464.000000
1302,424.000000
1303,368.000000
1304,304.000000
1305,240.000000
1306,160.000000
1307,80.000000
1308,0.000000
1309,-80.000000
1310,-160.000000
1311,-232.000000
1312,-304.000000
1313,-360.000000
1314,-416.000000
1315,-456.000000
1316,-488.000000
1317,-504.000000
1318,-512.000000
1319,-504.000000
1320,-488.000000
1321,-456.000000
1322,-408.000000
1323,-360.000000
1324,-296.000000
1325,-224.000000
1326,-152.000000
1327,-72.000000
1328,16.000000
1329,96.000000
1330,168.000000
1331,240.000000
1332,312.000000
1333,376.000000
1334,424.000000
1335,472.000000
1336,504.000000
1337,520.000000
1338,528.000000
1339,520.000000
1340,496.000000
1341,464.000000
1342,424.000000
1343,368.000000
1344,304.000000
1345,240.000000
1346,160.000000
1347,80.000000
1348,0.000000
1349,-72.000000
1350,-160.000000
1351,-232.000000
1352,-304.000000
1353,-360.000000
1354,-416.000000
1355,-456.000000
1356,-488.000000
1357,-504.000000
1358,-512.000000
1359,-504.000000
1360,-488.000000
1361,-456.000000
1362,-408.000000
1363,-360.000000
1364,-296.000000
